longitude,latitude,name,comment,inscription,page_url,erected_by,erected_date,categories,credits
-77.19364,38.708968,The Herris Stone,"Near Richmond Highway (U.S. 1) , Lorton,","This stone's original inscription was Heare lyes bodey of Livt Willeame Herris who died May 16 : 1698 : aged : 065 years : By birth a Britaire : a good soldier a good husbnd &amp; kinde : neighbour. Mr. Herris (Harris) was the father of Anne Harris, the wife of Thomas Owsley, the immigrant ancestor of many American Owsley's. These plaques placed by Pohick Church and the Owsley Family Historical Society to preserve an important historic antiquity.",https://www.hmdb.org/marker.asp?marker=201,Pohick Church and the Owsley Family Historical Society,,"Cemeteries & Burial Sites,Colonial Era","This page was last revised on June 16, 2016. This page originally submitted on  March 25, 2006, by J. J. Prats of Powell, Ohio.  This page has been viewed 1,828 times since then and 78 times this year."
-86.166866,39.767208,Macedonian Tribune,"On W. Washington Street (U.S. 40) , Indianapolis, (On the left when traveling west)","Original location of the Macedonian Tribune, 20 South West Street, from 1927-1949. Founded by immigrants from Macedonia as the voice of the Macedonian Patriotic Organization, the paper continues to be published in Fort Wayne, Indiana.",https://www.hmdb.org/marker.asp?marker=566,Macedonia Patriotic Organization of the United States and Canada.(Marker Number 49.1990.1.),1990,20th Century,"This page was last revised on June 16, 2016. This page originally submitted on  October 2, 2006, by M. Bowyer of Indianapolis, Indiana.  This page has been viewed 1,696 times since then and 49 times this year."
-122.49165,40.59858333,Noble’s Trail,"On Highway 299, Shasta, (On the left when traveling west)","On this site, in May 1852, a group of Shasta merchants met with William H. Noble to employ him as a guide over a direct route he had marked as an immigrant trail. This meeting resulted in the establishment of the Noble's Trail.  
 
Rededicated April 27, 1985 by Trinitarianus Chapter No. 62, E Clampus Vitus.",https://www.hmdb.org/marker.asp?marker=1168,"Trinitarianus Chapter No. 62, E Clampus Vitus.",1985,"Industry & Commerce,Notable Persons,Settlements & Settlers","This page was last revised on June 16, 2016. This page originally submitted on  June 17, 2007, by Karen Key of Sacramento, California.  This page has been viewed 1,642 times since then and 41 times this year."
-71.31289,42.64486,The Worker,"On Kirk Street, Lowell, (On the right when traveling north)","In 1821 Hugh Commisky led a band of laborers on a trek from Charlestown to Lowell. With muscle and sweat they dredged canals in the soil of rugged farmland. As others joined in their toil a complex waterpower system evolved, creating a new era of textile production. When one generation had endured and the clamor of manufacturing increased, immigrants came by the thousands seeking labor and a better life. This fountain celebrated workers and their contributions to industrial and human heritage.",https://www.hmdb.org/marker.asp?marker=1620,Lowell Heritage State Park and Lowell National Historical Park,,"Notable Events,Notable Persons,Waterways & Vessels","This page was last revised on June 16, 2016. This page originally submitted on  July 11, 2007, by Dawn Bowen of Fredericksburg, Virginia.  This page has been viewed 1,360 times since then and 30 times this year."
-77.710204,39.612069,Building the Funkstown Bridge,"On North Westside Avenue / Old National Road (U.S. Alternate 40) , Funkstown, (On the left","“The turnpike bridge at Funkstown is the only one...which seems to belong to a town” —Helen Ashe Hays, The Antietam and its Bridges  
This bridge, finished in 1823, is perhaps the oldest one over Antietam Creek. Irish immigrant laborers made up the construction crew. Many worked on the road to pay off the cost of their passage from the old country, what they called “working to pay off the dead horse.” The “great brigade” of Irish leveling the roadway and breaking rocks caused one traveler to comment that they were ""building a roadway good enough for any emperor to travel over...”
  Workers at a local dye factory regularly taunted the immigrants. One St. Patrick’s Day, the Irish workers marched into town to avenge the insults. Local militia from Hagerstown and Funkstown arrived to keep the peace. The worst injury was “a wound by the kick of a horse.”   The Bridge was widened in 1931 with the addition of a concrete facade on the side that faces you. The original stone facing remains on the opposite side.  “The trolley from Hagerstown brings holiday-makers who row on the creek and make picnics along its banks....In summer the water is alive with craft...and there is a continual hum of laughter and cheerful voices.” —Helen Ashe Hays, The Antietam and its Bridges.",https://www.hmdb.org/marker.asp?marker=2010,,,"Bridges & Viaducts,Roads & Vehicles","This page was last revised on June 16, 2016. This page originally submitted on  August 6, 2007, by Craig Swain of Leesburg, Virginia.  This page has been viewed 2,027 times since then and 60 times this year."
-121.98779,37.295662,Gubserville,"On Saratoga Avenue, San Jose, (On the right when traveling west)","Named after Frank Gubser, a German immigrant and barber, Gubserville was an important stage, mail and teamster stop on the road between San Jose and Saratoga. Gubser served as the village's first and only postmaster, beginning July 5, 1882. Gubserville ceased to exist officially when the post office was discontinued on April 15, 1897.",https://www.hmdb.org/marker.asp?marker=2398,"State Department of Parks Recreation, Alan R. David R. Finn Mountain Charlie Chapter No. 1850, E. Clampus Vitus.(Marker Number 447.)",1983,"Notable Persons,Settlements & Settlers","This page was last revised on June 16, 2016. This page originally submitted on  September 10, 2007, by Mathew H. Kohnen of San Jose, California.  This page has been viewed 1,739 times since then and 57 times this year. Photo    1. submitted on  September 10, 2007, by Mathew H. Kohnen of San Jose, California.  • J. J. Prats was the editor who published this page."
-76.5926,39.2686,Locust Point,"On Fort Avenue, Baltimore, (On the right when traveling east)","Established as a port of entry in 1706, this peninsula was originally known as Whetstone Point. Along this road in 1814, soldiers marched to the defense of Fort McHenry, nearby. Port facilities served as a Federal supply camp in the Civil War. Later received immigrant arrivals, and equipped “America’s Arsenal of Democracy” in World War II.",https://www.hmdb.org/marker.asp?marker=2561,Maryland Historical Trust & Maryland State Highway Administration,,"20th Century,Colonial Era,Military,War of 1812,War, US Civil,Waterways & Vessels","This page was last revised on June 16, 2016. This page originally submitted on  September 17, 2007, by Bill Pfingsten of Bel Air, Maryland.  This page has been viewed 2,137 times since then and 46 times this year."
-76.604586,39.288649,Carroll Mansion,"On Front Street, Baltimore, (On the left when traveling south)","Charles Carroll of Carrollton (1737–1832), the last surviving, and only Roman Catholic signer of the Declaration of Independence, wintered here during the last twelve years of his life.
  
Built circa 1808, the mansion is the grandest Federal era (1780–1820) merchant’s townhouse standing in the City of Baltimore today. The ground floor was used for business and family gatherings, the second for formal entertaining, and the third for sleeping.
  
The mansion was sold to the Sisters of Mercy, who had come to Baltimore from Pittsburgh in 1855. By the mid-nineteenth century, German and Irish immigrants were renting rooms in the Mansion, and by 1857 a saloon was located here. It operated until 1889.
  
By the 1890’s, Russian Jews, many of them skilled tailors, rented rooms in the Mansion. It was transformed into a “sweatshop” for clothing manufacture. It continued as a sweatshop and home to immigrants into the early twentieth century.
  
In 1914, as part of the nationally sponsored Star-Spangled Banner Centennial Celebration, the Carroll Mansion was purchased by the City of Baltimore for preservation. It became the first vocational school in the city. From 1929 until 1954, the Mansion housed a recreation center. In the early 1960’s Mayor Theodore McKeldin spearheaded the effort to completely renovate the Carroll Mansion and to transform it into a publicly owned historic house museum.",https://www.hmdb.org/marker.asp?marker=3204,"the City of Baltimore, William Donald Schaefer, mayor, rededicated 2005 by Martin O'Malley, mayor",,"20th Century,Notable Buildings,Notable Events,Notable Persons,Patriots & Patriotism","This page was last revised on  December 17, 2016. This page originally submitted on  October 28, 2007, by Bill Pfingsten of Bel Air, Maryland.  This page has been viewed 4,436 times since then and 133 times this year."
-78.3694,38.233,Ruckersville,"On Seminole Trail (U.S. 29) , Ruckersville,","A descendant of the Huguenot immigrant Peter Rucker, John Rucker (d. 1794) settled east of here on Rippin’s Run, and built Friendly Acres, the first of many Rucker family dwellings in the area. He founded the village of Ruckersville, naming it for his uncle, Captain John Rucker, who was instrumental in selecting the site for St. Mark’s Parish Church just west of here in 1732.",https://www.hmdb.org/marker.asp?marker=4034,Department of Historic Resources.(Marker Number D-11.),1990,Settlements & Settlers,"This page was last revised on June 16, 2016. This page originally submitted on  December 7, 2007, by J. J. Prats of Powell, Ohio.  This page has been viewed 1,387 times since then and 55 times this year."
-75.15574872,38.24944181,Beach to Bay Indian Trail,"On National Seashore Lane, near Berlin, (On the right when traveling north)","Centuries ago, Indians of the Algonquin Nation, including the Assateagues, Pocomokes, Manokins and Acquintacas, migrated seasonally between the Atlantic Ocean and the Chesapeake Bay. The Beach to Bay Indian Trail recognizes the patterns established by the American Indians and followed by the first European immigrants with fishing, farming and timbering as the principal activities. These patterns are deeply imprinted on the land and can be seen in relatively undisturbed settings along the trail, continuing the tradition of travel for discovery on the Lower Eastern Shore.",https://www.hmdb.org/marker.asp?marker=4390,"Maryland Department of Transportation, National Park Service, the Rural Development Center at the University of Maryland Eastern Shore, Economic Development Administration",,"Colonial Era,Native Americans","This page was last revised on June 16, 2016. This page originally submitted on  December 26, 2007, by F. Robby of Baltimore, Maryland.  This page has been viewed 3,291 times since then and 414 times this year."
